# E[keV] R[THz/mA]
8.0  2.911
10.0 2.382
12.5 2.162
15.0 2.299
17.5 2.622
20.0 3.090
22.5 3.729
25.0 4.395
27.5 4.299
30.0 5.013
35.0 6.679
40.0 8.621
45.0 11.008
50.0 13.568
55.0 16.212
60.0 19.264
