#S 5  ascan  phi -4.40425 -4.36425  80 5
#D Mon Mar 05 23:29:31 2018
#T 5  (Seconds)
#G0 0 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.08051 3.08051 10.0848 90 90 120 2.355193607 2.355193607 0.6230351923 90 90 60 0 0 4 1 0 4 -18.8714 10.39 90 -15.086 0 0 -26.07 10.39 47.088 -12.485 0 0 0.8265612114 0.8265612114 0 0
#G3 -2.345033566 -1.230820343 -0.05499698247 0.004489477294 1.929433966 -0.2040260802 0.2184819086 -0.5561499601 -0.5861071074
#G4 0.09401860358 -0.4424574903 7.85327403 0.8265612114 9.112736774 29.03116906 0 24.91670827 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 0.0940186 -0.442457 7.85327
#P0 -38.277 10.39 91.06 -4.38425 -11.599126 0.95072405 -9.3516637 4.2033909
#P1 29.240595 12.42995 0 94.654801 12.42995 -1.0805701 -0.5075 -0.42393203
#P2 0.0004 0 -5.9987119 20 0 0 54.8 -0.2499369
#P3 10 -10 7 -7.5 7 -6 -1 1
#P4 -0.32092449 15.500332 0 17.000572 -0.75 1.7109722 0.10160705 1.1274363
#P5 8.0501059 119.69266 0.195 4 281.624 89.68 2 -7.25
#P6 4.45 -11.5 11.5 0 0 0 0 41.7
#P7 89.997049 -30 -31.0703 -2.001519 2.0015187 19.999974 0 0
#P8 0 -0.099967772 -1.8999786 0.10002116 77 74 -2.0014611 3.0048
#P9 2.93504 3.9616 1.91552 3.11872 3.30368 2.80448 2.30912 3.29344
#P10 2.00512 2.8128 3.55712 2.10496 3.46432 4.99968 4.99968 44.907
#P11 -43.575 4.7 0.17833074 4.4 0 -2 -2.7 9.8949507
#P12 6.4977493 -0.71818352 6.3389508 -2.0014604 14.000008 2.25024 
#C subexposures=1 (exposures per image)
#N 14
#L Phi  H  K  L  Epoch  Seconds  Ion1  Ion2  xflash  vortex  Icesr  mostout  Ion0  Ion3
-4.38775 0.0940794 -0.442452 7.85329 1006.315 5 3666858 277 0 0 556206 3174160 2342299 92580
-4.38725 0.0940708 -0.442453 7.85329 1013.076 5 3667002 280 0 0 555793 3174168 2355977 96304
-4.38675 0.0940621 -0.442454 7.85329 1019.855 5 3666906 277 0 0 555746 3174164 2348442 93787
-4.38625 0.0940534 -0.442455 7.85328 1026.609 5 3667034 279 0 0 555744 3174171 2339228 89855
-4.38575 0.0940447 -0.442455 7.85328 1033.390 5 3667000 280 0 0 555739 3174172 2351465 86060
-4.38525 0.094036 -0.442456 7.85328 1040.145 5 3667060 280 0 0 555743 3174168 2355885 81981
-4.38475 0.0940273 -0.442457 7.85328 1046.927 5 3667031 279 0 0 555745 3174164 2348174 79123
-4.38425 0.0940186 -0.442457 7.85327 1053.704 5 3667023 279 0 0 555748 3174164 2342356 76595
-4.38375 0.0940099 -0.442458 7.85327 1060.463 5 3667022 279 0 0 555751 3174160 2352592 74114
-4.38325 0.0940012 -0.442459 7.85327 1067.255 5 3667036 279 0 0 555752 3174158 2344247 71994
-4.38275 0.0939925 -0.44246 7.85327 1074.008 5 3667050 279 0 0 555749 3174164 2353076 70722
-4.38225 0.0939838 -0.44246 7.85326 1080.764 5 3666998 280 0 0 555671 3174160 2355918 71823
-4.38175 0.0939751 -0.442461 7.85326 1087.589 5 3667038 279 0 0 555250 3174157 2351935 74362
-4.38125 0.0939665 -0.442462 7.85326 1094.372 5 3667067 280 0 0 555257 3174156 2341874 79744
-4.38075 0.0939578 -0.442463 7.85326 1101.124 5 3667050 279 0 0 555249 3174160 2361508 88874
-4.38025 0.0939491 -0.442463 7.85325 1107.910 5 3667093 278 0 0 555255 3174157 2362892 100889
-4.37975 0.0939404 -0.442464 7.85325 1114.685 5 3667116 278 0 0 555227 3174153 2365157 114340
-4.37925 0.0939317 -0.442465 7.85325 1121.469 5 3667093 277 0 0 555234 3174152 2357131 126196
-4.37875 0.093923 -0.442466 7.85325 1128.271 5 3667150 278 0 0 555223 3174159 2329481 132610
-4.37825 0.0939143 -0.442466 7.85324 1135.052 5 3667117 279 0 0 555236 3174159 2335649 134585
-4.37775 0.0939056 -0.442467 7.85324 1141.815 5 3667083 279 0 0 555140 3174155 2342142 131245
-4.37725 0.0938969 -0.442468 7.85324 1148.602 5 3667098 279 0 0 554947 3174154 2344100 124849
-4.37675 0.0938882 -0.442469 7.85324 1155.377 5 3667143 279 0 0 554881 3174159 2349106 117934
-4.37625 0.0938795 -0.442469 7.85323 1162.196 5 3667098 278 0 0 554859 3174157 2343615 111407
-4.37575 0.0938708 -0.44247 7.85323 1168.956 5 3667091 277 0 0 554760 3174153 2350022 103413
-4.37525 0.0938621 -0.442471 7.85323 1175.711 5 3667113 277 0 0 554792 3174160 2339249 92682
-4.37475 0.0938534 -0.442471 7.85323 1182.509 5 3667098 278 0 0 554786 3174162 2340098 79565
-4.37425 0.0938448 -0.442472 7.85322 1189.299 5 3667201 279 0 0 554786 3174165 2336026 64256
-4.37375 0.0938361 -0.442473 7.85322 1196.060 5 3667204 280 0 0 554785 3174171 2345944 46456
-4.37325 0.0938274 -0.442474 7.85322 1202.817 5 3667198 278 0 0 554786 3174169 2342321 31453
-4.37275 0.0938187 -0.442474 7.85322 1209.580 5 3667219 278 0 0 554788 3174157 2340190 20017
-4.37225 0.09381 -0.442475 7.85321 1216.356 5 3667221 279 0 0 554713 3174158 2342328 13568
-4.37175 0.0938013 -0.442476 7.85321 1223.134 5 3667165 279 0 0 554603 3174157 2340105 10166
-4.37125 0.0937926 -0.442477 7.85321 1229.973 5 3667113 281 0 0 554426 3174164 2329228 8505
-4.37075 0.0937839 -0.442477 7.85321 1236.739 5 3667078 282 0 0 554283 3174162 2354922 7607
-4.37025 0.0937752 -0.442478 7.8532 1243.499 5 3667123 280 0 0 554285 3174157 2340955 7055
-4.36975 0.0937665 -0.442479 7.8532 1250.252 5 3667162 280 0 0 554290 3174156 2339326 6670
-4.36925 0.0937578 -0.44248 7.8532 1257.028 5 3667144 280 0 0 554268 3174161 2338106 6395
